plot,EP_Plotid,Lon,Lat
A19557,AEG01,9.3419867529,48.3980050128
A2277,AEG10,9.2126008478,48.3787128703
A8338,AEG(10)_canceled,9.2676895439,48.3937057841
A20470,AEG11,9.3477155235,48.4853987987
A20771,AEG12,9.3502309279,48.3891220871
A22610,AEG13,9.3621982699,48.3916479693
A46088,AEG14,9.5186692771,48.3757600015
A35767,AEG15,9.4486539191,48.487881799
A36692,AEG16,9.4554611349,48.40210764
A46114,AEG17,9.5183688727,48.3993230386
A46500,AEG18,9.5214424368,48.3829418675
A35463,AEG19,9.4473185834,48.39764314
A39275,AEG02,9.4727841247,48.3768572731
A21699,AEG20,9.3564020806,48.4895088831
A21850,AEG21,9.3572193006,48.4422038842
A45310,AEG22,9.5134230403,48.4043813138
A45122,AEG23,9.512354055,48.4189546956
A42306,AEG24,9.4934922481,48.3964648774
A7116,AEG25,9.2595965836,48.3954780011
A28932,AEG26,9.4038818301,48.3951061598
A40320,AEG27,9.4799316588,48.4191396371
A42175,AEG28,9.492303341,48.4620734674
A22026,AEG29,9.358324659,48.4168404068
A32886,AEG(29)_canceled,9.4303322562,48.465020074
A48112,AEG03,9.5323787503,48.4088814832
A36956,AEG30,9.4572977908,48.4562378064
A37367,AEG31,9.4600244612,48.4587449338
A41172,AEG32,9.485781341,48.4658332639
A41959,AEG33,9.4910511483,48.4514222421
A43366,AEG34,9.5005580665,48.4558776829
A11495,AEG35,9.2884387238,48.4808866615
A13124,AEG36,9.2992438253,48.4781611668
A30361,AEG37,9.4135454726,48.3961509361
A32042,AEG38,9.4252511339,48.4395441364
A32195,AEG39,9.4256829259,48.3942180774
A31160,AEG04,9.4188891246,48.3808884549
A53417,AEG40,9.5665626636,48.4097972087
A28088,AEG41,9.3984861338,48.3699446079
A24657,AEG42,9.3760179249,48.3979885716
A49542,AEG43,9.5420173244,48.4134228471
A33605,AEG44,9.4349969019,48.3779957932
A37099,AEG45,9.4579527081,48.4013333334
A33626,AEG46,9.4348888005,48.3969714231
A35283,AEG47,9.446157209,48.4192307705
A43134,AEG48,9.4986696758,48.4218476697
A43953,AEG49,9.5046227699,48.4567591994
A34237,AEG05,9.4392007081,48.3958758627
A38525,AEG50,9.4676487349,48.4056558727
A34651,AEG06,9.4416781078,48.401262153
A24854,AEG07,9.3768471301,48.3914209811
A42131,AEG08,9.4921245872,48.4226402847
A43687,AEG09,9.5027923796,48.3946709269
A18422,AEW01,9.334410162,48.478073165
A27281,AEW10,9.3931477757,48.3777869241
A16193,AEW11,9.3197522888,48.4915951512
A5863,AEW12,9.2513658515,48.3694616359
A28098,AEW13,9.3986777067,48.3789099752
A18920,AEW14,9.337759582,48.3755620401
A29334,AEW15,9.4065105777,48.3894672795
A35042,AEW16,9.4446523886,48.3861424622
A5149,AEW17,9.2429915954,48.3964586199
A4246,AEW18,9.2337993934,48.36500227
A14961,AEW19,9.3111837565,48.4842445665
A20965,AEW02,9.3514506421,48.3799904765
A16058,AEW20,9.3187195033,48.3701037561
A16389,AEW21,9.3211949623,48.4843968668
A36262,AEW22,9.4526381407,48.3823072372
A41483,AEW23,9.4879752912,48.3858317363
A12513,AEW24,9.2947850994,48.4789820525
A31470,AEW25,9.4209567168,48.475891201
A34057,AEW26,9.4381710237,48.417462913
A39499,AEW27,9.4743515014,48.4002326117
A13956,AEW28,9.3050099068,48.4923546666
A21785,AEW29,9.3566062224,48.3836617112
A21613,AEW03,9.355590784,48.4122625017
A24017,AEW30,9.3713773469,48.3727333655
A6692,AEW31,9.2568234938,48.3811404452
A23243,AEW32,9.3663848487,48.4105199182
A41892,AEW33,9.490470405,48.3911719491
A42708,AEW34,9.4958712598,48.3911487688
A30620,AEW35,9.4151647193,48.4456961992
A3271,AEW36,9.2230702498,48.3804016572
A34233,AEW37,9.4391681555,48.392098933
A35243,AEW38,9.4454349383,48.3829918802
A4506,AEW39,9.2365486248,48.3757882361
A5276,AEW04,9.2448273429,48.3990986481
A20690,AEW40,9.3494366049,48.499602234
A28898,AEW41,9.4041380519,48.3644121378
A36277,AEW42,9.4527065741,48.3960932296
A25044,AEW43,9.3783084379,48.3790957789
A3277,AEW44,9.223093501,48.3857074703
A43486,AEW45,9.5012535366,48.3892368857
A22196,AEW46,9.3593246896,48.3862612052
A29568,AEW47,9.4079033192,48.4167020413
A39288,AEW48,9.4727567005,48.388458367
A39748,AEW49,9.4763942883,48.4453687526
A30591,AEW05,9.4146817957,48.4196184682
A6296,AEW50,9.2544483408,48.3921171677
A35255,AEW06,9.4459367075,48.3940513182
A7321,AEW07,9.2613559815,48.3962384103
A25660,AEW08,9.3823844929,48.3825895508
A30535,AEW09,9.4152176233,48.3693457637
