plot;Std_procedure(year);Std_procedure(exploratory);G_std;M_std;F_std;LUI
AEG01;separately(2009);global(ALB, HAI, SCH);0;2,07;1,11;1,78
AEG02;separately(2009);global(ALB, HAI, SCH);0;3,1;8,24;3,37
AEG03;separately(2009);global(ALB, HAI, SCH);0;2,07;1,79;1,96
AEG04;separately(2009);global(ALB, HAI, SCH);0,42;1,03;0,97;1,56
AEG05;separately(2009);global(ALB, HAI, SCH);0,47;1,03;1,24;1,66
AEG06;separately(2009);global(ALB, HAI, SCH);1,37;1,03;1,24;1,91
AEG07;separately(2009);global(ALB, HAI, SCH);0,34;0;0;0,58
AEG08;separately(2009);global(ALB, HAI, SCH);1,09;1,03;0;1,46
AEG09;separately(2009);global(ALB, HAI, SCH);0,26;0;0;0,51
AEG10;separately(2009);global(ALB, HAI, SCH);0;1,03;0;1,02
AEG11;separately(2009);global(ALB, HAI, SCH);0;3,1;0,91;2
AEG12;separately(2009);global(ALB, HAI, SCH);0;2,07;2,65;2,17
AEG13;separately(2009);global(ALB, HAI, SCH);0;2,07;2,65;2,17
AEG14;separately(2009);global(ALB, HAI, SCH);0;2,07;2,66;2,17
AEG15;separately(2009);global(ALB, HAI, SCH);0;3,1;3,57;2,58
AEG16;separately(2009);global(ALB, HAI, SCH);0,78;1,03;0,65;1,57
AEG17;separately(2009);global(ALB, HAI, SCH);0;2,07;2,23;2,07
AEG18;separately(2009);global(ALB, HAI, SCH);0;2,07;2,66;2,17
AEG19;separately(2009);global(ALB, HAI, SCH);3,59;0;1,24;2,2
AEG20;separately(2009);global(ALB, HAI, SCH);1,41;0;0;1,19
AEG21;separately(2009);global(ALB, HAI, SCH);6,57;0;7,85;3,8
AEG22;separately(2009);global(ALB, HAI, SCH);0,3;1,03;0;1,16
AEG23;separately(2009);global(ALB, HAI, SCH);0;1,03;0;1,02
AEG24;separately(2009);global(ALB, HAI, SCH);1,47;2,07;2,25;2,41
AEG25;separately(2009);global(ALB, HAI, SCH);0,74;0;0;0,86
AEG26;separately(2009);global(ALB, HAI, SCH);2,2;0;0;1,48
AEG27;separately(2009);global(ALB, HAI, SCH);0,92;0;0;0,96
AEG28;separately(2009);global(ALB, HAI, SCH);0,44;0;0;0,66
AEG29;separately(2009);global(ALB, HAI, SCH);0,56;1,03;0,91;1,58
AEG30;separately(2009);global(ALB, HAI, SCH);1,83;1,03;0;1,69
AEG31;separately(2009);global(ALB, HAI, SCH);0,73;1,03;0;1,33
AEG32;separately(2009);global(ALB, HAI, SCH);0,3;0;0;0,55
AEG33;separately(2009);global(ALB, HAI, SCH);0,81;0;0;0,9
AEG34;separately(2009);global(ALB, HAI, SCH);0,95;0;0;0,97
AEG35;separately(2009);global(ALB, HAI, SCH);0;2,07;0,97;1,74
AEG36;separately(2009);global(ALB, HAI, SCH);0;2,07;0,91;1,73
AEG37;separately(2009);global(ALB, HAI, SCH);0;2,07;2,65;2,17
AEG38;separately(2009);global(ALB, HAI, SCH);0;2,07;0;1,44
AEG39;separately(2009);global(ALB, HAI, SCH);0;2,07;2,65;2,17
AEG40;separately(2009);global(ALB, HAI, SCH);2,34;1,03;1,05;2,1
AEG41;separately(2009);global(ALB, HAI, SCH);0;2,07;2,92;2,23
AEG42;separately(2009);global(ALB, HAI, SCH);1,67;0;1,79;1,86
AEG43;separately(2009);global(ALB, HAI, SCH);1,58;1,03;1,52;2,03
AEG44;separately(2009);global(ALB, HAI, SCH);4,11;0;0;2,03
AEG45;separately(2009);global(ALB, HAI, SCH);0;2,07;0;1,44
AEG46;separately(2009);global(ALB, HAI, SCH);3,37;0;0;1,84
AEG47;separately(2009);global(ALB, HAI, SCH);0,4;0;0;0,63
AEG48;separately(2009);global(ALB, HAI, SCH);0,42;0;0;0,65
AEG49;separately(2009);global(ALB, HAI, SCH);1,13;0;0;1,06
AEG50;separately(2009);global(ALB, HAI, SCH);0;2,07;2,74;2,19
