Explo;EP_Plotid;initial_landuse_type;2006;2007;2008;2009;2010;2011;2012;new_landuse_type;notes
ALB;AEG01;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;
ALB;AEG02;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;
ALB;AEG03;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_fertilised;
ALB;AEG04;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;
ALB;AEG05;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;
ALB;AEG06;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_horse_cattle_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_cattle_horse_fertilised;Mown pasture_horse_cattle_fertilised;Mown pasture_cattle_horse_fertilised;
ALB;AEG07;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasturesheep_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
ALB;AEG08;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;
ALB;AEG09;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasturesheep_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
ALB;AEG10;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;
