PlotID,EP_Plotid,Lon,Lat
S1029,SEG01,13.969643613,53.0874201199
S502,SEG10,13.9975565113,53.1066189775
S505,SEG11,13.9929664034,53.1055917908
S561,SEG12,13.9651666142,53.0873902852
S719,SEG13,13.8190368943,52.9729737541
S1028,SEG14,13.9802599328,53.0866128921
S658,SEG15,14.0091395643,53.1094117133
S706,SEG16,13.9991563761,53.1155376108
S1015,SEG17,13.6259992127,53.098328709
S1039,SEG18,13.8756098085,53.1373051619
S676,SEG19,14.0090911662,53.12451684
S573,SEG02,13.9800470219,53.0893068994
S980,SEG20,13.6153816683,53.1035166861
S988,SEG21,13.6111129329,53.1062437745
S999,SEG22,13.9738023393,53.1008363304
S612,SEG23,14.0259043152,53.1076629229
S761,SEG24,13.9960806945,53.0930375778
S1007,SEG25,13.6179908205,53.1106282851
S1022,SEG26,14.0184348694,53.1058313536
S1051,SEG27,13.7073809813,53.1227841103
S1042,SEG28,14.0060802647,53.0931214508
S1043,SEG29,13.9986953531,53.090363765
S526,SEG03,13.9856996404,53.1028343078
S690,SEG30,13.8306804543,53.1481412744
S698,SEG31,13.8354379183,53.1490864835
S701,SEG32,13.832087364,53.1519292507
S732,SEG33,13.8425129961,52.9857854702
S738,SEG34,13.8471996774,52.9831350747
S770,SEG35,13.8483181227,52.980270272
S1035,SEG36,13.8376434069,52.9869062127
S1036,SEG37,13.8760304642,53.1349278101
S1044,SEG38,13.6757639408,53.1157329748
S780,SEG39,13.8232869643,52.9809239074
S712,SEG04,14.0018710945,53.1137541932
S850,SEG40,13.8406712422,53.1157000428
S974,SEG41,13.8523423904,53.1221932473
S1045,SEG42,13.9688288888,52.8706731952
S1046,SEG43,13.9678274355,52.876577569
S1047,SEG44,13.9651898491,52.8800593338
S1048,SEG45,13.9593929333,52.8814555267
S779,SEG46,13.8263321419,52.9784378063
S801,SEG47,13.827582102,52.9872657751
S995,SEG48,13.6066414018,53.09720511
S1033,SEG49,13.8565786823,52.9747334907
S667,SEG05,14.0005236583,53.1074526576
S1052,SEG50,13.7503876671,53.1217783222
S1012,SEG06,13.6228333298,53.1034952652
S570,SEG07,13.9770687275,53.0883827434
S652,SEG08,14.0170996354,53.1139706829
S990,SEG09,13.6125669145,53.0981819341
S5110,SEW01,13.8463669499,52.9008472902
S5073,SEW10,13.637843132,53.0910959427
S5075,SEW11,13.6337037671,53.0902936541
S5094,SEW12,13.6982632545,53.0883300835
S154,SEW13,13.8639279627,53.0163657036
S5098,SEW14,13.7521735271,52.9179136611
S5102,SEW15,13.7375525556,52.914542078
S260,SEW16,13.8639856255,53.0765831695
S5001,SEW17,13.8274870493,52.9423507679
S5051,SEW18,13.9172479943,52.8624230856
S5070,SEW19,13.6350797244,53.0939848778
S5090,SEW02,13.778028117,52.951728864
S5074,SEW20,13.6353842203,53.0886055083
S5101,SEW21,13.740450917,52.9155883093
S213,SEW22,13.9140747207,53.0601385484
S5089,SEW23,13.7791918682,52.9489729846
S5092,SEW24,13.9671737446,52.8897190116
S5095,SEW25,13.7610957942,52.9209815366
S5100,SEW26,13.7461817871,52.9174012798
S5105,SEW27,14.0010438422,52.8899546096
S5107,SEW28,13.6640414169,52.883956729
S156,SEW29,13.8622360487,53.0172391815
S5112,SEW03,13.6430016042,52.9207074362
S217,SEW30,13.9223631143,53.06213691
S5116,SEW31,13.9033696983,52.8810775398
S292,SEW32,13.9270461979,53.0627722974
S5038,SEW33,13.8874377589,52.9150420243
S5108,SEW34,13.8521470181,52.8958258919
S475,SEW35,13.8534187775,52.9112679466
S5086,SEW36,13.7541425496,52.9513641654
S5091,SEW37,13.7826121483,52.9400215749
S5104,SEW38,13.6707369457,52.8884802265
S384,SEW39,13.8664454739,52.9247557336
S467,SEW04,13.8473113725,52.9173466307
S391,SEW40,13.8623651461,52.9147687623
S397,SEW41,13.9099253483,52.9122938399
S414,SEW42,13.9145343372,52.9027475084
S421,SEW43,13.9283255647,52.9009765233
S488,SEW44,13.859220603,52.9184590159
S353,SEW45,13.8378888408,53.0454545169
S5060,SEW46,13.7774439698,53.0721224497
S5063,SEW47,13.7713654294,53.0712780629
S360,SEW48,13.8449953984,53.0512659201
S438,SEW49,13.8912306282,52.885260427
S219,SEW05,13.8853662276,53.0570335601
S5117,SEW50,13.7870431421,53.039528434
S5111,SEW06,13.8416880472,52.907442793
S5106,SEW07,13.6944189332,53.1073480195
S5113,SEW08,13.9303378591,53.1917971616
S5114,SEW09,13.8101029479,53.044586875
